Sl. No.,State Code,State/UT,2020-21,2021-22,2022-23,2023-24,2024-25
1,1,Jammu and Kashmir,3648,4692,5246,6704,4275
2,2,Himachal Pradesh,7055,8023,8778,9956,6144
3,3,Punjab,13913,18406,20949,24061,15441
4,4,Chandigarh,1651,1979,2365,2771,1691
5,5,Uttarakhand,12339,13680,16845,19231,12247
6,6,Haryana,54890,68142,86668,102914,68202
7,7,Delhi,36568,46253,55843,66445,46669
8,8,Rajasthan,31797,38480,45458,50174,30813
9,9,Uttar Pradesh,59721,73865,87970,101693,66036
10,10,Bihar,11638,13534,16548,18021,11199
11,11,Sikkim,2266,2811,3156,3707,2340
12,12,Arunachal Pradesh,651,710,1023,1308,694
13,13,Nagaland,389,420,566,711,374
14,14,Manipur,392,551,615,670,452
15,15,Mizoram,257,316,419,500,323
16,16,Tripura,732,777,884,1053,648
17,17,Meghalaya,1337,1764,2076,2260,1200
18,18,Assam,10030,12007,13710,15602,10059
19,19,West Bengal,39694,47898,58060,62613,39041
20,20,Jharkhand,20482,27854,32019,34738,20954
21,21,Odisha,29844,44335,49442,54748,34908
22,22,Chhattisgarh,24419,29571,31968,34874,21223
23,23,Madhya Pradesh,27005,31255,36232,42174,25626
24,24,Gujarat,74346,97155,114221,125168,78645
25,25,Daman and Diu,305,5,3,3,1
26,26,Dadra and Nagar Haveli,2349,3141,3771,4333,2548
27,27,Maharashtra,165308,217993,270346,320117,206141
28,29,Karnataka,75660,95926,122822,145266,91348
29,30,Goa,3270,4364,5520,6475,4032
30,31,Lakshadweep,13,18,21,45,9
31,32,Kerala,17349,22264,27371,30677,19059
32,33,Tamil Nadu,69121,85492,104377,121329,75078
33,34,Puducherry,1646,1824,2373,2636,1664
34,35,Andaman and Nicobar Islands,255,332,373,428,255
35,36,Telangana,36346,45081,51831,59942,35924
36,37,Andhra Pradesh,26163,32710,40232,44298,26357
37,38,Ladakh,114,207,333,481,278
38,97,Other Territory,1337,1590,2609,2615,1472
39,99,Centre Jurisdiction,1541,2121,1941,2507,1767
GST Collection (Domestic),GST Collection (Domestic),GST Collection (Domestic),865842,1097545,1324985,1523249,965138
Imports,Imports,Imports,270964,385746,482695,495001,309302
Total GST Collection,Total GST Collection,Total GST Collection,1136805,1483291,1807680,2018249,1274440
